system,facility,carrier,code,code_type,setting,billing_class,hospital_plan,payer_plan,expected_cause,labelled_by,labelled_on,note,hospital_rate,payer_rate,payer_min,payer_max,payer_count,inside_payer_range,ratio,relative_difference,hospital_vintage,payer_vintage,vintage_gap_days,notes,triage_rule
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,72285,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,"hospital figure looks like a component rate, payer figure is facility; same ~6x on all imaging codes for this pair",472.11,3096.32,2786.69,3096.32,3,False,6.55847154264895,5.55847154264895,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,unexplained
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,72295,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,488.17,2903.09,2612.78,2903.09,3,False,5.94688325788147,4.94688325788147,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,75605,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,744.67,4660.68,4194.61,4660.68,3,False,6.25871862704285,5.25871862704285,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,unexplained
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,75625,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,735.09,4660.68,4194.61,4660.68,3,False,6.34028486307799,5.34028486307799,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,75630,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,744.67,4862.26,4376.03,4862.26,3,False,6.52941571434326,5.52941571434326,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,75710,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,776.72,4660.68,4194.61,4660.68,3,False,6.00046348748583,5.00046348748583,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,75741,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,786.37,4660.68,4194.61,4660.68,3,False,5.92682833780535,4.92682833780535,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,75743,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,796.03,4660.68,4194.61,4660.68,3,False,5.85490496589324,4.85490496589324,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,75825,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,712.62,4660.68,4194.61,4660.68,3,False,6.54020375515702,5.54020375515702,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,unexplained
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,75827,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,747.91,4660.68,4194.61,4660.68,3,False,6.23160540706769,5.23160540706769,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
