system,reason,carrier,code_type,candidates,facility,hospital_slug
Montefiore,different_billing_class,Aetna,CPT,1421,,montefiore-health-system
Montefiore,different_billing_class,Aetna,HCPCS,214,,montefiore-health-system
Montefiore,different_billing_class,Anthem / Empire BCBS,CPT,11814,,montefiore-health-system
Montefiore,different_billing_class,Anthem / Empire BCBS,HCPCS,12466,,montefiore-health-system
Montefiore,different_billing_class,Cigna,CPT,11431,,montefiore-health-system
Montefiore,different_billing_class,Cigna,HCPCS,50,,montefiore-health-system
Montefiore,different_billing_class,UnitedHealthcare,CPT,44694,,montefiore-health-system
Montefiore,different_billing_class,UnitedHealthcare,HCPCS,28120,,montefiore-health-system
Montefiore,incompatible_methodology,Aetna,CPT,643,,montefiore-health-system
Montefiore,incompatible_methodology,Aetna,HCPCS,77,,montefiore-health-system
Montefiore,incompatible_methodology,Aetna,MS-DRG,4,,montefiore-health-system
Montefiore,incompatible_methodology,Anthem / Empire BCBS,CPT,10702,,montefiore-health-system
Montefiore,incompatible_methodology,Anthem / Empire BCBS,HCPCS,145,,montefiore-health-system
Montefiore,incompatible_methodology,Cigna,CPT,11,,montefiore-health-system
Montefiore,incompatible_methodology,Cigna,HCPCS,10,,montefiore-health-system
Montefiore,incompatible_methodology,EmblemHealth,CPT,29,,montefiore-health-system
Montefiore,incompatible_methodology,EmblemHealth,MS-DRG,84,,montefiore-health-system
Montefiore,incompatible_methodology,UnitedHealthcare,HCPCS,3,,montefiore-health-system
Montefiore,mixed_rate_kind,Aetna,HCPCS,12,,montefiore-health-system
Montefiore,mixed_rate_kind,Anthem / Empire BCBS,CPT,1344,,montefiore-health-system
Montefiore,mixed_rate_kind,Anthem / Empire BCBS,HCPCS,38,,montefiore-health-system
Montefiore,mixed_rate_kind,Cigna,CPT,44,,montefiore-health-system
Montefiore,mixed_rate_kind,EmblemHealth,CPT,2,,montefiore-health-system
Montefiore,no payer-side counterpart,Aetna,CPT,8396,,montefiore-health-system
Montefiore,no payer-side counterpart,Aetna,HCPCS,4698,,montefiore-health-system
Montefiore,no payer-side counterpart,Aetna,MS-DRG,36,,montefiore-health-system
Montefiore,no payer-side counterpart,Affinity,CPT,18211,,montefiore-health-system
Montefiore,no payer-side counterpart,Affinity,HCPCS,3349,,montefiore-health-system
Montefiore,no payer-side counterpart,Affinity,MS-DRG,2304,,montefiore-health-system
Montefiore,no payer-side counterpart,Anthem / Empire BCBS,CPT,1211,,montefiore-health-system
Montefiore,no payer-side counterpart,Anthem / Empire BCBS,HCPCS,1780,,montefiore-health-system
Montefiore,no payer-side counterpart,CDPHP,CPT,2973,,montefiore-health-system
Montefiore,no payer-side counterpart,CDPHP,HCPCS,31,,montefiore-health-system
Montefiore,no payer-side counterpart,CDPHP,MS-DRG,14,,montefiore-health-system
Montefiore,no payer-side counterpart,Cigna,CPT,3700,,montefiore-health-system
Montefiore,no payer-side counterpart,Cigna,HCPCS,962,,montefiore-health-system
