system,facility,carrier,code,code_type,setting,billing_class,hospital_plan,payer_plan,hospital_rate,payer_rate,difference,ratio,relative_difference,is_implausible,hospital_vintage,payer_vintage,notes,payer_min,payer_max,payer_count,inside_payer_range,hospital_slug
White Plains,White Plains Hospital,Cigna,113,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,64529.73,74701.5,10171.769999999997,1.1576292043992744,0.1576292043992745,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,67232.06,74701.5,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,114,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,33803.33,42988.87,9185.54,1.27173476695935,0.2717347669593499,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,38690.39,42988.87,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,116,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,47712.43,57448.76,9736.330000000002,1.204062756812009,0.20406275681200897,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,51704.43,57448.76,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,143,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,94415.41,119040.72,24625.309999999998,1.2608187582937997,0.2608187582937997,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,107137.77,119040.72,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,208,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,76754.52,87334.45,10579.929999999993,1.1378411330042841,0.13784113300428422,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,78601.83,87334.45,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,218,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,170120.46,208917.01,38796.55000000002,1.228053404040878,0.22805340404087798,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,188027.28,208917.01,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,221,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,131321.41,160142.27,28820.859999999986,1.2194680973955425,0.21946809739554263,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,144129.56,160142.27,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,234,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,152127.86,173566.37,21438.51000000001,1.1409242856633888,0.14092428566338874,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,156211.37,173566.37,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,255,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,74815.71,85704.49,10888.779999999999,1.1455413575571227,0.14554135755712266,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,77134.85,85704.49,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,257,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,25504.77,34702.47,9197.7,1.3606266592484464,0.3606266592484465,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,31232.55,34702.47,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,258,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,80223.22,99833.94,19610.72,1.244451918035701,0.2444519180357009,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,89851.49,99833.94,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,259,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,50260.33,64248.18,13987.849999999999,1.2783079617662678,0.2783079617662677,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,57823.97,64248.18,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,263,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,76691.61,97142.77,20451.160000000003,1.266667501177769,0.26666750117776905,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,87429.41,97142.77,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,266,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,171301.48,194717.65,23416.169999999984,1.1366956666107029,0.13669566661070284,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,175247.73,194717.65,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,268,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,190655.25,218531.52,27876.26999999999,1.1462129681716082,0.14621296817160812,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,196680.43,218531.52,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,270,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,146777.55,167643.88,20866.330000000016,1.1421629533944395,0.14216295339443952,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,150881.07,167643.88,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,271,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,98496.06,112994.32,14498.26000000001,1.1471963447065803,0.14719634470658025,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,101695.95,112994.32,3,False,white-plains-hospital
